stage,script,purpose
01_snrnaseq,00_setup.R,"shared paths, seed, session logging"
01_snrnaseq,01_load_qc_filter_doublets.R,"QC and filtering -> 13,139 WT / 15,663 MUT"
01_snrnaseq,01b_supp_qc_and_marker_panels.R,"Supplementary Figure S1A, S1B"
01_snrnaseq,02_sct_pca_cluster_resgrid.R,"SCTransform, PCA, clustering (res 0.5, 24 clusters)"
01_snrnaseq,03_markers_annotation.R,marker detection per cluster
01_snrnaseq,03b_apply_annotation.R,applies the final cell-class annotation
01_snrnaseq,03c_dissection_bias_and_tel_filter.R,"regional composition, dissection yardstick, scope restriction -> Fig 1B, S1D"
01_snrnaseq,03d_figure1_umap_panels.R,"Figure 1A, 1C UMAPs"
01_snrnaseq,03e_figure_marker_dotplot.R,Supplementary Figure S1C marker dot plot
01_snrnaseq,04b_composition_variableN_sensitivity.R,equal-N resampling -> Supplementary Figure S1E
01_snrnaseq,04e_composition_descriptive_panel.R,composition table feeding Figure 1D / Table S1
01_snrnaseq,05_withinstate_DE_GO.R,"global and within-type DE, GO enrichment -> Fig 3A, Tables S4/S5"
02_trajectories,07_build_ventral_reference_mayer.R,builds the Mayer ventral reference
02_trajectories,07e_supp_S2_reference_root_dotplots.R,Supplementary Figure S2A-D root dot plots
02_trajectories,08_build_dorsal_reference_dibella.R,builds the Di Bella dorsal reference
02_trajectories,09_config_projection_rooted_v2.R,"projection configuration: roots, dims, anchor features"
02_trajectories,09_run_pipeline_rooted_v2.R,driver for the projection pipeline
02_trajectories,09a_build_reference_pseudotime.R,Slingshot trajectories in each reference
02_trajectories,09b_map_query_to_reference.R,anchor transfer of reference pseudotime to query
02_trajectories,09c_analyze_genotype_pseudotime.R,genotype comparison of transferred pseudotime
02_trajectories,09f_combined_lineage_umaps.R,"Figure 2A, 2B"
02_trajectories,09g_pseudotime_qc_occupancy.R,"occupancy by pseudotime bin -> Fig 2C, S2E"
02_trajectories,09j_pseudotime_variableN_sensitivity.R,equal-N resampling of the pseudotime shift -> Table S2
03_chipseq,00_chipseq_setup.R,ChIP paths and palettes
03_chipseq,01_chipseq_peak_overview.R,peak import and overview
03_chipseq,02_chipseq_peak_classification.R,maintained / lost / gained classification -> Fig 4A
03_chipseq,03_chipseq_annotation.R,"ChIPseeker annotation, promoter definition -> Fig 4C"
03_chipseq,04_chipseq_deg_integration.R,promoter peak to DE gene integration -> S4A
03_chipseq,05_chipseq_motif.R,motif analysis
03_chipseq,09_chipseq_peak_signal_gene_fc_correlation.R,per-peak normalised signal -> Table S7
03_chipseq,10_chipseq_promoter_deg_overlap.R,promoter set GO against CTCF-bound background
03_chipseq,11_chipseq_umotif_by_occupancy.py,"U-motif frequency by occupancy decile -> Tables S7, S8"
04_orthogonal,13_bulk_genotype_series_discovery.R,bulk RNA-seq genotype series
04_orthogonal,14_4c_cpcdh_discovery.R,4C binned contact profiles and replicate concordance
04_orthogonal,16_hic_insulation_tad_boundaries.py,Hi-C insulation at the cPcdh locus -> S4D
04_orthogonal,17_bulk_rnaseq_interpretation.R,"cPcdh subfamily expression -> Fig 4D, S4B"
04_orthogonal,18_4c_interpretation.R,4C contact change at cPcdh -> Fig 4D
05_figures,CTCF_MOUSE.H11MO.0.A.pcm,"HOCOMOCO CTCF position count matrix (input, not a script)"
05_figures,compute_figure3_tables.py,computes the gene-programme battery feeding Table_S3
05_figures,make_figure4.py,Figure 4A-D from Tables S7-S10
05_figures,plot_figure1D.py,Figure 1D from Table_S1_composition_FDR.csv
05_figures,plot_figure2D.py,Figure 2D from Table_S2_pseudotime_shift_FDR.csv
05_figures,plot_figure3.py,Figure 3A-D from Table_S3 and Table_S4
