# Authoritative membership for the 10 gene sets displayed in Figure 3B-D.
# Direct rows use org.Mm.eg.db 3.20.0, keytype='GO' (not GOALL),
# Entrez/GO source date 2024-Sep20. The cell-cycle row is the recovered
# 94-gene mouse-symbol Tirosh 2016 S+G2/M set used in the analysis.
# One row per unique set-member gene; this table is the frozen input to
# compute_figure3_tables.py and removes annotation-release ambiguity.
#
panel,gene_set,category,go_id,annotation,canonical_fraction,source_release,gene
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ablim1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Alcam
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ank3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Apbb1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Apbb2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Arhgap35
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Arhgef25
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Artn
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Arx
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Atoh1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,B3gnt2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,B4gat1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Bdnf
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Bmp7
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Boc
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cdh4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cdk5r1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cdk5r2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Chl1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cntn1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cntn2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cntn5
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cntn6
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Crppa
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Csf1r
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cxcl12
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cyfip1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Cyfip2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dag1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dcc
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dlx5
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dpysl5
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Draxin
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Drgx
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dscam
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dscaml1
