"class","n_cells","gene","pct_expr","mean_expr"
"Astrocyte-primed RG",172,"Mki67",84.3,1.9143
"Astrocyte-primed RG",172,"Top2a",86,1.9354
"Astrocyte-primed RG",172,"Eomes",0.6,0.0069
"Astrocyte-primed RG",172,"Neurog2",3.5,0.0426
"Astrocyte-primed RG",172,"Btg2",5.2,0.0782
"Astrocyte-primed RG",172,"Dlx1",5.2,0.1098
"Astrocyte-primed RG",172,"Dlx2",2.3,0.0314
"Astrocyte-primed RG",172,"Ascl1",9.9,0.1382
"Astrocyte-primed RG",172,"Egfr",14.5,0.2475
"Astrocyte-primed RG",172,"Olig2",10.5,0.1516
"Astrocyte-primed RG",172,"Bcan",33.1,0.5592
"Astrocyte-primed RG",172,"Aqp4",2.3,0.0334
"Astrocyte-primed RG",172,"Aldh1l1",29.7,0.4434
"Astrocyte-primed RG",172,"Clu",31.4,0.54
"Astrocyte-primed RG",172,"Slc1a3",98.3,3.1999
"Astrocyte-primed RG",172,"Slco1c1",65.7,1.6136
"Astrocyte-primed RG",172,"Mfge8",70.9,1.3163
"Astrocyte-primed RG",172,"Pdgfra",1.7,0.017
"Astrocyte-primed RG",172,"Cspg4",2.9,0.0409
"Astrocyte-primed RG",172,"Sox10",0.6,0.0036
"Astrocyte-primed RG",172,"Fezf2",14,0.1987
"Astrocyte-primed RG",172,"Tle4",27.3,0.4142
"Astrocyte-primed RG",172,"Ntsr1",0.6,0.0085
"Astrocyte-primed RG",172,"Satb2",8.7,0.1463
"Astrocyte-primed RG",172,"Cux1",59.9,1.1087
"Astrocyte-primed RG",172,"Mef2c",11.6,0.1641
"Astrocyte-primed RG",172,"Reln",9.9,0.1367
"Astrocyte-primed RG",172,"Trp73",0,0
"Astrocyte-primed RG",172,"Ndnf",4.7,0.0775
"Astrocyte-primed RG",172,"Lhx6",1.2,0.0201
"Astrocyte-primed RG",172,"Maf",2.3,0.0408
"Astrocyte-primed RG",172,"Nxph1",4.7,0.0646
"Astrocyte-primed RG",172,"Prox1",6.4,0.0957
"Astrocyte-primed RG",172,"Htr3a",0,0
"Astrocyte-primed RG",172,"Nr3c2",4.7,0.0725
"Astrocyte-primed RG",172,"Lhx8",1.2,0.0165
"Astrocyte-primed RG",172,"Nkx2-1",1.7,0.0247
"Astrocyte-primed RG",172,"Cntnap5a",9.3,0.1256
"Astrocyte-primed RG",172,"Adarb2",11.6,0.1902
"Astrocyte-primed RG",172,"Nr2f2",6.4,0.1083
"Astrocyte-primed RG",172,"Meis2",92.4,2.9058
"Astrocyte-primed RG",172,"Tshz1",11,0.1698
"Astrocyte-primed RG",172,"Etv1",27.9,0.4463
"Astrocyte-primed RG",172,"Pbx3",62.8,1.3023
"Astrocyte-primed RG",172,"Ebf1",5.2,0.0916
"Astrocyte-primed RG",172,"Isl1",3.5,0.0576
"Astrocyte-primed RG",172,"Rxrg",2.9,0.0386
"Astrocyte-primed RG",172,"Npy1r",0,0
"Astrocyte-primed RG",172,"Dchs2",0.6,0.0081
"Astrocyte-primed RG",172,"Pde8b",5.2,0.065
"Astrocyte-primed RG",172,"Drd2",0.6,0.0083
"Astrocyte-primed RG",172,"Penk",0.6,0.0071
"Astrocyte-primed RG",172,"Adora2a",0,0
"Astrocyte-primed RG",172,"Six3",9.9,0.1598
"Astrocyte-primed RG",172,"Sox4",33.1,0.5105
"Cajal-Retzius",157,"Mki67",3.8,0.0415
"Cajal-Retzius",157,"Top2a",1.9,0.0106
"Cajal-Retzius",157,"Eomes",16.6,0.1868
"Cajal-Retzius",157,"Neurog2",3.2,0.0419
"Cajal-Retzius",157,"Btg2",2.5,0.0222
"Cajal-Retzius",157,"Dlx1",7.6,0.0979
"Cajal-Retzius",157,"Dlx2",2.5,0.0218
"Cajal-Retzius",157,"Ascl1",5.7,0.0885
"Cajal-Retzius",157,"Egfr",1.9,0.0235
"Cajal-Retzius",157,"Olig2",0.6,0.0059
"Cajal-Retzius",157,"Bcan",3.8,0.0373
"Cajal-Retzius",157,"Aqp4",0.6,0.0089
