# Figure 3 gene-set battery on the installed 18-class scheme, 13 classes.
# 121 of 130 combinations tested; the rest fall below the 15-gene floor and are NA.
# Permutation against size-matched random gene sets drawn from the same class's
#   own DE table, 4,000 draws, per-(set, class) seed derived from master seed 3.
# z_vs_random is the effect: mean log2FC of the set minus the null mean, in null SDs.
# BH is across tested combinations only. One library per genotype: nuclei are
#   pseudoreplicates, so these P values describe how reliably the two libraries differ.
gene_set,category,go_id,annotation,canonical_fraction,cell_type,family,n_genes_in_set,n_genes_tested,test_status,mean_log2FC,z_vs_random,perm_p,significant,significant_FDR_q05,q_value_BH
Axon guidance,Guidance,GO:0007411,direct GO,0.87,Ventral IPC,Progenitor,191,96,tested,-0.1372,-1.176,0.2404,False,False,0.606
Axon guidance,Guidance,GO:0007411,direct GO,0.87,Gliogenic RG,Progenitor,191,92,tested,0.0718,1.2,0.2267,False,False,0.606
Axon guidance,Guidance,GO:0007411,direct GO,0.87,Immature Astrocytes,Glial,191,100,tested,0.086,2.067,0.0422,True,False,0.2323
Axon guidance,Guidance,GO:0007411,direct GO,0.87,OPC,Glial,191,88,tested,-0.0255,-0.259,0.7926,False,False,0.9133
Axon guidance,Guidance,GO:0007411,direct GO,0.87,Deep layer EN,Dorsal excitatory,191,99,tested,0.0526,2.286,0.031,True,False,0.2083
Axon guidance,Guidance,GO:0007411,direct GO,0.87,Upper layer EN,Dorsal excitatory,191,92,tested,-0.006,1.046,0.2719,False,False,0.6083
Axon guidance,Guidance,GO:0007411,direct GO,0.87,MGE-IN,Ventral interneuron,191,87,tested,-0.0585,0.028,0.9775,False,False,0.9783
Axon guidance,Guidance,GO:0007411,direct GO,0.87,CGE-IN,Ventral interneuron,191,90,tested,-0.0581,-0.294,0.7736,False,False,0.9
Axon guidance,Guidance,GO:0007411,direct GO,0.87,"GABAergic IN, origin unassigned",Ventral interneuron,191,108,tested,0.0539,1.532,0.1257,False,False,0.4474
Axon guidance,Guidance,GO:0007411,direct GO,0.87,LGE-derived GABAergic,Ventral interneuron,191,92,tested,0.015,1.436,0.1522,False,False,0.5192
Axon guidance,Guidance,GO:0007411,direct GO,0.87,SPN-D1 (precursor-like),Ventral projection,191,88,tested,-0.0512,0.814,0.4239,False,False,0.7482
Axon guidance,Guidance,GO:0007411,direct GO,0.87,SPN-D1 (differentiating),Ventral projection,191,97,tested,-0.0408,0.427,0.6668,False,False,0.8988
Axon guidance,Guidance,GO:0007411,direct GO,0.87,SPN-D2 (differentiating),Ventral projection,191,91,tested,-0.0908,-0.292,0.7651,False,False,0.8988
Semaphorin-plexin signaling,Guidance,GO:0071526,direct GO,1.0,Ventral IPC,Progenitor,43,23,tested,-0.2078,-1.304,0.1845,False,False,0.558
Semaphorin-plexin signaling,Guidance,GO:0071526,direct GO,1.0,Gliogenic RG,Progenitor,43,19,tested,0.0428,0.323,0.7426,False,False,0.8988
Semaphorin-plexin signaling,Guidance,GO:0071526,direct GO,1.0,Immature Astrocytes,Glial,43,22,tested,0.0556,0.536,0.5636,False,False,0.8743
Semaphorin-plexin signaling,Guidance,GO:0071526,direct GO,1.0,OPC,Glial,43,23,tested,-0.1177,-0.957,0.3299,False,False,0.6238
Semaphorin-plexin signaling,Guidance,GO:0071526,direct GO,1.0,Deep layer EN,Dorsal excitatory,43,29,tested,0.0967,2.087,0.036,True,False,0.2177
Semaphorin-plexin signaling,Guidance,GO:0071526,direct GO,1.0,Upper layer EN,Dorsal excitatory,43,27,tested,0.0579,1.572,0.0927,False,False,0.3756
