# Panel B source. CTCF sites ranked by normalised occupancy change and split into deciles.
# decile_rank 1 = most binding lost, 10 = binding gained. CI = Wilson 95%.
decile_rank,median_log2FC_norm,n_peaks,n_umotif_pos,pct_umotif,ci_lo,ci_hi
1,-2.3045,4032,763,18.92,17.74,20.16
2,-1.622,4031,684,16.97,15.84,18.16
3,-1.2485,4031,675,16.75,15.62,17.93
4,-0.9788,4031,582,14.44,13.39,15.56
5,-0.7389,4032,493,12.23,11.25,13.27
6,-0.5281,4031,420,10.42,9.51,11.4
7,-0.3298,4030,355,8.81,7.97,9.72
8,-0.1364,4031,311,7.72,6.93,8.58
9,0.0826,4033,242,6.0,5.31,6.78
10,0.484,4030,184,4.57,3.96,5.25
