"# Panel E source. Bulk brain RNA-seq, per gene, heterozygous and homozygous vs wild type."
gene,region,het_log2FC,het_padj,het_sig,homo_log2FC,homo_padj,homo_sig
Pcdha3,Pcdha,-0.039,9.640e-01,False,-0.013,9.819e-01,False
Pcdha4,Pcdha,-0.338,7.660e-01,False,-0.433,8.613e-02,False
Pcdha5,Pcdha,0.294,7.829e-01,False,0.425,1.261e-01,False
Pcdha6,Pcdha,0.017,1.000e+00,False,-1.031,4.454e-02,True
Pcdha7,Pcdha,-1.261,6.226e-01,False,-2.371,7.933e-05,True
Pcdha8,Pcdha,-4.3,7.278e-01,False,-2.895,2.023e-01,False
Pcdha9,Pcdha,-1.333,7.120e-01,False,-3.423,4.842e-05,True
Pcdha10,Pcdha,0.594,7.660e-01,False,-0.242,5.732e-01,False
Pcdhb2,Pcdhb,-0.577,8.517e-01,False,-4.979,4.641e-05,True
Pcdhb3,Pcdhb,0.111,9.653e-01,False,-2.187,2.676e-03,True
Pcdhb4,Pcdhb,0.679,9.046e-01,False,-5.141,2.437e-03,True
Pcdhb5,Pcdhb,-0.946,7.660e-01,False,-3.959,1.670e-05,True
Pcdhb6,Pcdhb,-1.127,7.660e-01,False,-5.162,1.670e-05,True
Pcdhb7,Pcdhb,-0.332,7.859e-01,False,-2.664,1.146e-05,True
Pcdhb8,Pcdhb,0.151,9.677e-01,False,-5.87,4.637e-05,True
Pcdhb9,Pcdhb,-0.775,7.120e-01,False,-2.365,1.670e-05,True
Pcdhb10,Pcdhb,-0.193,9.469e-01,False,-4.405,4.637e-05,True
Pcdhb11,Pcdhb,0.225,9.532e-01,False,-4.937,2.209e-04,True
Pcdhb12,Pcdhb,0.071,9.989e-01,False,-4.033,2.085e-02,True
Pcdhb13,Pcdhb,-0.709,8.180e-01,False,-3.741,3.491e-04,True
Pcdhb14,Pcdhb,-1.072,7.660e-01,False,-3.62,4.097e-04,True
Pcdhb15,Pcdhb,-0.479,8.967e-01,False,-4.053,6.002e-04,True
Pcdhb16,Pcdhb,-1.088,7.120e-01,False,-2.534,9.750e-05,True
Pcdhb17,Pcdhb,-0.879,7.660e-01,False,-3.868,1.432e-05,True
Pcdhb18,Pcdhb,-0.831,7.660e-01,False,-2.251,1.110e-03,True
Pcdhb19,Pcdhb,-1.336,7.120e-01,False,-3.8,1.670e-05,True
Pcdhb20,Pcdhb,-0.876,7.278e-01,False,-2.914,3.267e-05,True
Pcdhb21,Pcdhb,-0.808,7.829e-01,False,-2.838,1.263e-03,True
Pcdhb22,Pcdhb,-1.3,7.120e-01,False,-1.791,3.554e-03,True
Pcdhga1,Pcdhg,0.851,7.660e-01,False,-2.824,5.977e-05,True
Pcdhga2,Pcdhg,-0.175,9.318e-01,False,-2.653,2.209e-04,True
Pcdhgb1,Pcdhg,0.249,9.046e-01,False,1.034,6.645e-02,False
Pcdhga4,Pcdhg,-0.1,9.528e-01,False,-1.692,1.223e-03,True
Pcdhgb2,Pcdhg,-0.783,7.278e-01,False,-0.389,3.287e-01,False
Pcdhga5,Pcdhg,-0.131,9.374e-01,False,1.418,3.565e-03,True
Pcdhga6,Pcdhg,-0.95,7.120e-01,False,-1.132,4.963e-03,True
Pcdhga7,Pcdhg,0.412,7.660e-01,False,0.322,2.568e-01,False
Pcdhgb4,Pcdhg,0.925,7.278e-01,False,3.757,1.146e-05,True
Pcdhgb5,Pcdhg,0.385,7.660e-01,False,1.076,2.057e-03,True
Pcdhgb6,Pcdhg,-0.197,9.084e-01,False,-2.472,8.719e-05,True
Pcdhga10,Pcdhg,0.584,7.660e-01,False,-1.403,6.176e-03,True
Pcdhgb7,Pcdhg,-0.142,9.079e-01,False,-0.875,1.046e-02,True
Pcdhgc4,Pcdhg,-0.205,8.364e-01,False,-0.361,2.104e-01,False
