# TGCAG-containing, core-motif-anchored upstream-20-mer proxy across occupancy-change deciles.
# Decile 1 = most binding lost; decile 10 = most binding gained. CI = Wilson 95%.
# This custom proxy is related to but not identical with Zhang et al.'s FIMO-plus-clustering U1 class.
decile_rank,log2FC_min,log2FC_max,median_log2FC_norm,n_components,n_proxy_positive,pct_proxy_positive,ci_lo,ci_hi
1,-9.489307,-1.883547,-2.310986,3728,718,19.2597,18.0257,20.5569
2,-1.883485,-1.401645,-1.613593,3729,633,16.9751,15.8043,18.2138
3,-1.401520,-1.079959,-1.228602,3728,650,17.4356,16.2514,18.6869
4,-1.079939,-0.822433,-0.944418,3729,558,14.9638,13.8550,16.1448
5,-0.822399,-0.595969,-0.706401,3728,448,12.0172,11.0123,13.1002
6,-0.595924,-0.400097,-0.495934,3729,412,11.0485,10.0822,12.0951
7,-0.400058,-0.207519,-0.304288,3728,341,9.1470,8.2632,10.1149
8,-0.207453,-0.013681,-0.111011,3729,302,8.0987,7.2656,9.0180
9,-0.013678,0.245546,0.099946,3728,223,5.9818,5.2649,6.7893
10,0.245843,8.363928,0.485111,3729,179,4.8002,4.1594,5.5341
