"cell","UMAP1","UMAP2","subcluster","geno","pt"
"wt_3276314",-7.30507902306845,-2.30033065948363,"differentiating","WT",50.6083993670611
"wt_6508488",-7.92234377068808,-2.02197911414977,"differentiating","WT",48.4204458100315
"wt_8266009",-7.02606014413169,-0.72677417669173,"differentiating","WT",51.6943877383282
"wt_19608",-7.35405592126181,-1.71320178184386,"differentiating","WT",46.4885312266296
"wt_8855081",-6.65556530160239,-2.33995606574889,"differentiating","WT",48.0636256219643
"wt_7241935",-7.87053255242636,-2.48954023990508,"differentiating","WT",56.10534496969
"wt_7977305",-7.0380673806124,-0.82298680219527,"differentiating","WT",53.3985674197753
"wt_13584443",-6.86091570061972,-0.922821363543231,"differentiating","WT",56.7044499010142
"wt_9323222",-6.78229002160361,-0.552924653624255,"differentiating","WT",47.5857156327823
"wt_9915700",-6.80771354836753,-2.71160521182891,"differentiating","WT",59.6112144965157
"wt_1034939",-6.95139459771445,-0.44283438298579,"differentiating","WT",49.9723403617736
"wt_4876447",-7.07013563317588,-1.61949636611815,"differentiating","WT",53.6213685568834
"wt_8279903",-7.81369833154013,-2.34604205760833,"differentiating","WT",50.3879890251278
"wt_13713454",-6.92200092477133,-0.368612748679776,"differentiating","WT",51.4706456893686
"wt_1184327",-6.44409755868247,-1.95473005447264,"differentiating","WT",54.3412235505557
"wt_3544014",-7.62883047265341,-2.40447654399749,"differentiating","WT",51.8405305715668
"wt_475039",-7.3558164040499,-1.60066439781066,"differentiating","WT",52.8325553342554
"wt_8703829",-7.8680062691622,-2.30455770168181,"differentiating","WT",56.9284935199847
"wt_9143089",-6.61569980782798,-3.12647165927764,"differentiating","WT",53.1492923829365
"wt_12394044",-7.36866144341758,-2.01967634830352,"differentiating","WT",48.445450019378
"wt_6651733",-7.22135214013388,-2.35831036243315,"differentiating","WT",51.3514634268397
"wt_1037264",-6.8418159882479,-1.5107243267047,"differentiating","WT",52.3565099075156
"wt_4151078",-7.10784916085532,-1.17610468540068,"differentiating","WT",58.4292483831502
"wt_8275618",-7.83238748711875,-2.21721186313506,"differentiating","WT",49.662870067916
"wt_3550851",-7.49720911187461,-1.60958685550566,"differentiating","WT",54.9745146177527
"wt_5626383",-7.12404016656211,-2.28393199119445,"differentiating","WT",48.7003251124657
"wt_7237645",-7.40364889306357,-1.5454676357257,"differentiating","WT",57.3105904521705
"wt_9747852",-7.11972002190879,-2.66366424236174,"differentiating","WT",55.1857506253932
"wt_9911076",-6.49468712014487,-2.40088429126616,"differentiating","WT",53.9845103115978
"wt_4894129",-7.94048742455771,-2.15925790939208,"differentiating","WT",53.8696208619471
"wt_1187024",-7.40320161980918,-2.78254451427336,"differentiating","WT",56.3256250078562
"wt_7392021",-7.1788406769686,-1.08951111707564,"differentiating","WT",54.45540315216
"wt_6078815",-7.15528968972495,-2.13542534980651,"differentiating","WT",53.0875108997866
"wt_4308505",-8.02146772546103,-2.47467436466094,"differentiating","WT",52.2124518913916
"wt_5632211",-7.75701002282431,-2.69264568958159,"differentiating","WT",50.3364458229758
"wt_9885740",-7.15338663262656,-2.72152175578948,"differentiating","WT",40.6518398663202
"wt_761875",-7.54749063653281,-2.49755634937163,"differentiating","WT",50.9258885851889
"wt_8556349",-7.67705015343955,-1.80387725505706,"differentiating","WT",50.4093344403125
"wt_9764385",-7.43500951928427,-2.01863624725219,"differentiating","WT",57.2345879463773
"wt_4133815",-7.53511385125449,-2.61227717075225,"differentiating","WT",54.4507766263538
"wt_8293649",-5.65655807656577,-2.2733808961856,"precursor-like","WT",51.0743506834542
"wt_453576",-7.94161371392539,-2.18762411746855,"differentiating","WT",51.4795341658132
"wt_12694278",-7.79633859795859,-1.72178985748168,"differentiating","WT",49.7799836757615
"wt_7384382",-5.40617183846762,-2.30396988067504,"differentiating","WT",52.3494918943984
"wt_9007907",-6.67095331353476,-2.34282424125548,"differentiating","WT",53.8069967113038
"wt_5609477",-7.06500200433066,-1.89557149085875,"differentiating","WT",53.5947566293015
"wt_3705287",-6.99973396462729,-0.954698821638782,"differentiating","WT",51.1506792238916
"wt_4305095",-7.20728353661826,-2.63657321605559,"differentiating","WT",53.4130882137815
"wt_7254916",-7.28092054528525,-2.63096155795928,"differentiating","WT",59.5717839853671
"wt_5616036",-7.82315115136435,-2.54984965000029,"differentiating","WT",52.1486172605322
"wt_10487860",-7.55965761346152,-1.80466451320525,"differentiating","WT",54.6045002951647
"wt_9901138",-7.4478049675875,-1.8905797210681,"differentiating","WT",57.0302505423287
"wt_11087656",-7.74181036156943,-2.52250327739592,"differentiating","WT",51.0512828712222
"wt_5914017",-7.84744791192343,-2.04425384673949,"differentiating","WT",51.9162162578922
"wt_1652358",-7.5724740425997,-2.66057004604216,"differentiating","WT",51.2003289289671
"wt_12992294",-6.83239988488486,-2.46797027263518,"differentiating","WT",53.2308619762979
"wt_7963070",-7.80400518578818,-2.60406126651641,"differentiating","WT",58.0296318940928
"wt_8559438",-7.08710722131064,-1.17439289960738,"differentiating","WT",55.2410654019114
"wt_26189",-7.74706606072715,-2.68173279437896,"differentiating","WT",58.4065911496871
"wt_11817695",-6.70821241540244,-1.3195439783084,"differentiating","WT",48.0382048318794
"wt_13150860",-7.86869577569297,-1.98909094009276,"differentiating","WT",51.3462779703611
"wt_9900333",-7.78068117303183,-1.91926529083129,"differentiating","WT",56.3337552090427
"wt_9765179",-5.85612110299399,-2.0631256309497,"differentiating","WT",43.8355966479659
"wt_7825240",-7.59565500420859,-2.14558674964782,"differentiating","WT",49.8987496127797
"wt_8861996",-7.77600149316123,-2.65767922077056,"differentiating","WT",57.1571705482287
"wt_7408979",-7.15613512200644,-2.5320569482791,"differentiating","WT",54.8349904901681
"wt_7547615",-6.50049118203452,-1.79750563773986,"differentiating","WT",44.2009853773118
"wt_13293345",-6.99797109765341,-0.588560840223987,"differentiating","WT",48.0185590067431
"wt_6049572",-6.85368017358115,-1.24537666711684,"differentiating","WT",56.5678007101018
"wt_12981185",-7.13108829659751,-2.40242566738005,"differentiating","WT",57.4539433369132
"wt_8734088",-5.9227633873873,-1.62628807697173,"differentiating","WT",52.7010736047899
"wt_7546382",-6.6154542366915,-1.36204471263762,"differentiating","WT",50.5420815399484
"wt_12994205",-7.04453519982627,-1.00296135816451,"differentiating","WT",49.6859138179638
"wt_10037777",-7.14148763818076,-1.65003778610106,"precursor-like","WT",50.9275464876547
"wt_1184726",-5.70664123696616,-2.10190810832854,"differentiating","WT",49.5737317074282
