"group","gene","diff","prec"
"SPN differentiation","Rarb",87.5305623471883,45.6445993031359
"SPN differentiation","Bcl11b",82.640586797066,63.7630662020906
"SPN differentiation","Foxp1",97.3105134474328,72.1254355400697
"SPN differentiation","Adora2a",23.838630806846,11.4982578397213
"SPN differentiation","Gpr88",33.4963325183374,19.1637630662021
"SPN differentiation","Ppp1r1b",9.29095354523227,1.04529616724739
"LGE precursor","Six3",35.5745721271394,60.2787456445993
"LGE precursor","Dlx1",14.4254278728606,25.7839721254355
"LGE precursor","Tshz1",14.1809290953545,23.3449477351916
"LGE precursor","Sox4",45.59902200489,58.1881533101045
