"# Panel D source. Three assays across chr18:36.90-37.88 Mb, shared genomic axis."
"# track '4C'         : mean mutant-minus-WT contact change per bin, viewpoint F (2 replicates"
"#                      per genotype; Spearman WT 0.86, HOMO 0.80). Viewpoint BC excluded,"
#                      replicate concordance only 0.61/0.53.
# track 'CTCF'       : per-peak signal change from the GEO spike-in normalised bigwigs.
"# track 'expression' : per-gene log2FC, bulk brain RNA-seq, homozygous vs wild type."
# Region assigned by COORDINATE. The A4 table's nearest_pcdh_gene column reports
"# 'Pcdha4b' for 32 of 41 peaks and is unusable. Subfamily intervals nest, so a disjoint"
# assignment is used (Pcdhb and Pcdhg take precedence).
# Subfamily interval bounds (mm10), from A4_cpcdh_subfamily_bounds_mm10.csv, used for the
# region bands. DISJOINT: Pcdha row is the annotation interval MINUS nested Pcdhb/Pcdhg.
#   Pcdha 36930184 37264938
#   Pcdhb 37264938 37524479
#   Pcdhg 37661793 37841873
# Do NOT derive band bounds from feature extents: the first and last feature do not sit at
# the interval edges, which inflates Pcdha to 1037 kb and overlaps the other two.
track,feature,region,chr18_start,chr18_end,peak_class,wt_signal,mut_signal,value,u_motif,significant
4C,bin_23,Pcdha,36898461,36908390,,,,0.1175,,stable
4C,bin_24,Pcdha,36908391,36918320,,,,0.889,,higher_in_homo
4C,bin_25,Pcdha,36918321,36928250,,,,0.3775,,stable
4C,bin_26,Pcdha,36928251,36938181,,,,-0.0303,,stable
4C,bin_27,Pcdha,36938182,36948111,,,,0.4848,,stable
4C,bin_28,Pcdha,36948112,36958041,,,,0.6345,,stable
4C,bin_29,Pcdha,36958042,36967971,,,,0.6655,,stable
4C,bin_30,Pcdha,36967972,36977901,,,,-0.1118,,stable
4C,bin_31,Pcdha,36977902,36987831,,,,0.0759,,stable
4C,bin_32,Pcdha,36987832,36997761,,,,-0.1339,,stable
4C,bin_33,Pcdha,36997762,37007691,,,,-0.3556,,stable
4C,bin_34,Pcdha,37007692,37017621,,,,-0.0043,,stable
4C,bin_35,Pcdha,37017622,37027551,,,,-0.0371,,stable
4C,bin_36,Pcdha,37027552,37037481,,,,-0.0032,,stable
4C,bin_37,Pcdha,37037482,37047411,,,,0.6494,,stable
4C,bin_38,Pcdha,37047412,37057341,,,,-0.5282,,stable
