union_id,chrom,start,end,peak_class,annotation,figure4_feature
CTCF_union_00001,chr1,3670868,3672636,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00002,chr1,4142598,4142818,LOST,"Exon (ENSMUST00000208660.1/19888, exon 22 of 30)",Other
CTCF_union_00003,chr1,4228279,4228541,MAINTAINED,"Exon (ENSMUST00000208660.1/19888, exon 14 of 30)",Other
CTCF_union_00004,chr1,4332403,4333041,MAINTAINED,"Intron (ENSMUST00000208660.1/19888, intron 3 of 29)",Intron
CTCF_union_00005,chr1,4382876,4383087,LOST,"Intron (ENSMUST00000208660.1/19888, intron 1 of 29)",Intron
CTCF_union_00006,chr1,4416771,4417009,LOST,Distal Intergenic,Distal
CTCF_union_00007,chr1,4492051,4492294,LOST,Promoter (1-2kb),Promoter
CTCF_union_00008,chr1,4516572,4516950,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00009,chr1,4768319,4768855,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00010,chr1,4769800,4770740,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00011,chr1,4779380,4779612,GAINED,"Intron (ENSMUST00000130201.7/27395, intron 3 of 4)",Intron
CTCF_union_00012,chr1,4780039,4780503,MAINTAINED,"Exon (ENSMUST00000192286.1/ENSMUST00000192286.1, exon 1 of 1)",Other
CTCF_union_00013,chr1,4807804,4808218,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00014,chr1,4857542,4857809,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00015,chr1,5017838,5018619,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00016,chr1,5019345,5020115,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00017,chr1,5070292,5070588,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00018,chr1,5083122,5083465,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00019,chr1,5103261,5103537,LOST,"Intron (ENSMUST00000192847.5/108664, intron 7 of 12)",Intron
CTCF_union_00020,chr1,5183492,5183826,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00021,chr1,5904758,5905146,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00022,chr1,5915294,5915746,MAINTAINED,Promoter (1-2kb),Promoter
CTCF_union_00023,chr1,5917836,5918185,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00024,chr1,6135119,6135383,LOST,Distal Intergenic,Distal
CTCF_union_00025,chr1,6143962,6144194,LOST,Distal Intergenic,Distal
CTCF_union_00026,chr1,6152440,6152780,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00027,chr1,6214617,6215297,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00028,chr1,6272202,6272694,MAINTAINED,Promoter (1-2kb),Promoter
CTCF_union_00029,chr1,6382663,6383132,MAINTAINED,"Exon (ENSMUST00000192950.1/ENSMUST00000192950.1, exon 1 of 1)",Other
CTCF_union_00030,chr1,6383440,6383788,GAINED,"Intron (ENSMUST00000133144.3/620393, intron 1 of 4)",Intron
CTCF_union_00031,chr1,6401519,6401812,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00032,chr1,6406298,6406743,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00033,chr1,6410107,6410458,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00034,chr1,6417945,6418185,GAINED,Distal Intergenic,Distal
CTCF_union_00035,chr1,6479843,6480213,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00036,chr1,6483245,6483538,LOST,Distal Intergenic,Distal
CTCF_union_00037,chr1,6489089,6489313,GAINED,Promoter (1-2kb),Promoter
CTCF_union_00038,chr1,6859006,6859388,MAINTAINED,Promoter (1-2kb),Promoter
CTCF_union_00039,chr1,6979681,6979899,LOST,Distal Intergenic,Distal
CTCF_union_00040,chr1,7010246,7010451,LOST,Distal Intergenic,Distal
CTCF_union_00041,chr1,7088359,7088775,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00042,chr1,7141284,7141759,MAINTAINED,"Intron (ENSMUST00000061280.16/319263, intron 2 of 5)",Intron
CTCF_union_00043,chr1,7204733,7205141,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00044,chr1,7218955,7219236,LOST,Distal Intergenic,Distal
CTCF_union_00045,chr1,7396794,7397734,MAINTAINED,"Exon (ENSMUST00000181554.1/ENSMUST00000181554.1, exon 1 of 3)",Other
CTCF_union_00046,chr1,7398076,7398753,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00047,chr1,7543561,7543781,LOST,Distal Intergenic,Distal
CTCF_union_00048,chr1,8410605,8410802,LOST,"Intron (ENSMUST00000132064.7/71096, intron 19 of 19)",Intron
CTCF_union_00049,chr1,8678836,8679066,LOST,"Intron (ENSMUST00000132064.7/71096, intron 7 of 19)",Intron
CTCF_union_00050,chr1,9299598,9300073,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00051,chr1,9541218,9541719,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00052,chr1,9545136,9545614,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00053,chr1,9545812,9546506,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00054,chr1,9548919,9549479,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00055,chr1,9573202,9573608,MAINTAINED,"Intron (ENSMUST00000144177.7/76187, intron 13 of 13)",Intron
CTCF_union_00056,chr1,9621483,9621821,MAINTAINED,"Intron (ENSMUST00000088666.3/76982, intron 4 of 5)",Intron
CTCF_union_00057,chr1,9696728,9697154,LOST,Promoter (2-3kb),Promoter
CTCF_union_00058,chr1,9700254,9700465,LOST,Promoter (<=1kb),Promoter
CTCF_union_00059,chr1,9729503,9729832,GAINED,"Intron (ENSMUST00000057438.6/70675, intron 2 of 2)",Intron
CTCF_union_00060,chr1,9772731,9773235,MAINTAINED,"Intron (ENSMUST00000181821.7/73331, intron 2 of 3)",Intron
CTCF_union_00061,chr1,9798173,9798555,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00062,chr1,9943722,9944139,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00063,chr1,10007239,10007588,MAINTAINED,Promoter (1-2kb),Promoter
CTCF_union_00064,chr1,10037658,10038213,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00065,chr1,10039355,10040106,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00066,chr1,10089361,10089938,MAINTAINED,Promoter (1-2kb),Promoter
