# One row per reduced non-overlapping CTCF union component (mm10, BED-style 0-based start).
# Exact-coordinate MACS2 multi-summit records were collapsed before WT and mutant intervals were reduced.
# Signal is the mean of the deposited spike-in-normalised bigWig over the complete union component.
# log2FC_norm = log2((mutant + 0.01)/(wild type + 0.01)).
chrom,start,end,union_id,peak_class,n_wt_unique_intervals,n_mut_unique_intervals,n_wt_peak_records,n_mut_peak_records,wt_norm_signal,mut_norm_signal,log2FC_norm
chr1,3670868,3672636,CTCF_union_00001,MAINTAINED,1,1,1,3,9.06641856,9.93846718,0.13235112
chr1,4142598,4142818,CTCF_union_00002,LOST,1,0,1,0,15.16556230,2.60403727,-2.53739836
chr1,4228279,4228541,CTCF_union_00003,MAINTAINED,1,1,1,1,13.00912329,3.43576799,-1.91773483
chr1,4332403,4333041,CTCF_union_00004,MAINTAINED,1,1,1,1,18.03537181,13.34735147,-0.43399489
chr1,4382876,4383087,CTCF_union_00005,LOST,1,0,1,0,12.95833157,7.63187648,-0.76299404
chr1,4416771,4417009,CTCF_union_00006,LOST,1,0,1,0,13.30463942,2.79318056,-2.24787678
chr1,4492051,4492294,CTCF_union_00007,LOST,1,0,1,0,7.75970028,4.66260631,-0.73363146
chr1,4516572,4516950,CTCF_union_00008,MAINTAINED,1,1,1,1,17.75615947,9.24651687,-0.94059052
chr1,4768319,4768855,CTCF_union_00009,MAINTAINED,1,1,1,1,32.11169694,16.82016993,-0.93249837
chr1,4769800,4770740,CTCF_union_00010,MAINTAINED,1,1,1,1,17.42262046,11.83912216,-0.55700927
chr1,4779380,4779612,CTCF_union_00011,GAINED,0,1,0,1,2.31786964,5.60370123,1.26994201
chr1,4780039,4780503,CTCF_union_00012,MAINTAINED,1,1,1,1,13.02832039,13.73175330,0.07580806
chr1,4807804,4808218,CTCF_union_00013,MAINTAINED,1,1,1,1,5.61087651,7.65193247,0.44691319
chr1,4857542,4857809,CTCF_union_00014,GAINED,0,1,0,1,3.99436741,5.74757417,0.52388674
chr1,5017838,5018619,CTCF_union_00015,MAINTAINED,1,1,1,1,10.50079793,7.55537072,-0.47438951
chr1,5019345,5020115,CTCF_union_00016,GAINED,0,1,0,1,5.86411370,7.38669368,0.33250934
chr1,5070292,5070588,CTCF_union_00017,MAINTAINED,1,1,1,1,14.82070804,8.65578976,-0.77518434
chr1,5083122,5083465,CTCF_union_00018,GAINED,0,1,0,1,4.13944401,4.96024413,0.26039868
chr1,5103261,5103537,CTCF_union_00019,LOST,1,0,1,0,16.18981626,4.44627337,-1.86206781
chr1,5183492,5183826,CTCF_union_00020,MAINTAINED,1,1,1,1,8.72940402,5.99142972,-0.54222867
chr1,5904758,5905146,CTCF_union_00021,MAINTAINED,1,1,1,1,17.95028337,9.43361880,-0.92739840
chr1,5915294,5915746,CTCF_union_00022,MAINTAINED,1,1,1,1,32.25689078,6.10760998,-2.39901453
chr1,5917836,5918185,CTCF_union_00023,MAINTAINED,1,1,1,1,13.12274311,3.26108416,-2.00532751
chr1,6135119,6135383,CTCF_union_00024,LOST,1,0,1,0,23.71228168,5.02866923,-2.23512812
chr1,6143962,6144194,CTCF_union_00025,LOST,1,0,1,0,11.55488075,2.53535700,-2.18381047
chr1,6152440,6152780,CTCF_union_00026,MAINTAINED,1,1,1,1,12.90566704,5.86400911,-1.13670475
chr1,6214617,6215297,CTCF_union_00027,MAINTAINED,1,1,1,1,7.76618273,10.88511793,0.48654779
chr1,6272202,6272694,CTCF_union_00028,MAINTAINED,1,1,1,1,14.63332793,9.35445013,-0.64497728
chr1,6382663,6383132,CTCF_union_00029,MAINTAINED,1,1,1,1,17.91051967,19.20006934,0.10025025
chr1,6383440,6383788,CTCF_union_00030,GAINED,0,1,0,1,6.60894303,10.74939317,0.70092395
